s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	s94	s95	s96	s97	s98	s99	s100	s101	s102	s103	s104	s105	s106
metab_100	0.0001748689	0.0027689562	0.0012371492	-0.0002520762	-0.0004627621	-0.0002520762	0.0012637444	0.0061937443	0.0052456342	0.0015204879	-0.0007911960	-0.0005033071	0.0000360575	-0.0000003544	-0.0004454378	0.0021679375	-0.0008425529	-0.0004454378	-0.0002910040	-0.0005900894	0.0001406277	-0.0003728746	-0.0005900894	-0.0000642333	-0.0001005544	0.0007024560	0.0010853399	0.0227357851	0.0001233734	-0.0005900894	0.0034222604	0.0003562580	0.0096353156	0.0000202724	-0.0000317875	-0.0004627621	0.0000202724	0.0005415473	-0.0001548639	0.0002115275	-0.0004138545	-0.0004454378	-0.0003728746	-0.0004627621	0.0000536778	-0.0002910040	-0.0004138545	-0.0003577086	0.0000202724	-0.0002910040	-0.0000003544	-0.0000003544	0.0009007080	0.0010587157	-0.0002067674	-0.0000512019	0.0001748689	-0.0001857774	-0.0007911960	-0.0004812865	0.0017693315	-0.0001857774	-0.0002910040	-0.0002694761	-0.0000003544	0.0006224086	-0.0003577086	0.0000708153	0.0007024560	0.0007024560	0.0005000803	0.0000360575	0.0004399628	0.0178759195	0.0016045657	0.0003175396	-0.0005720405	0.0002854014	-0.0000152003	0.0008475822	0.0028880645	0.0068397081	-0.0000317875	-0.0013046086	0.0022279557	-0.0002316850	-0.0010515443	-0.0002520762	-0.0006141357	0.0003016075	-0.0002067674	-0.0003577086	0.0076950019	-0.0004138545	-0.0005282431	-0.0006141357	-0.0005504090	0.0006224086	0.0105501133	0.0006224086	0.0008214726	0.0046033434	-0.0005900894	-0.0001857774	-0.0008737839	-0.0007549861
metab_101	-0.0002067674	0.0000708153	0.0003348619	-0.0006141357	-0.0001857774	-0.0003728746	-0.0002520762	0.0042602121	0.0024866917	0.0005627961	-0.0008425529	-0.0006141357	-0.0002910040	-0.0005504090	-0.0004812865	0.0013600196	-0.0008894464	-0.0006858139	-0.0007197942	-0.0002520762	-0.0005720405	-0.0010150392	-0.0009159127	-0.0008894464	-0.0008737839	-0.0005900894	0.0011726724	0.0201356671	-0.0003728746	-0.0007911960	0.0009708650	-0.0005900894	0.0066487575	-0.0004454378	-0.0005033071	-0.0009159127	-0.0004138545	-0.0002694761	-0.0000834532	-0.0007549861	-0.0008143594	-0.0006630864	-0.0005504090	-0.0003728746	-0.0005282431	-0.0007197942	-0.0006320954	-0.0006630864	-0.0001693525	-0.0006141357	0.0003562580	0.0006422254	0.0000885986	0.0001406277	-0.0009749736	-0.0007911960	-0.0006141357	-0.0006320954	-0.0009611175	-0.0005720405	0.0004781526	-0.0006320954	-0.0001005544	-0.0001548639	-0.0004138545	0.0001406277	-0.0005900894	-0.0002910040	0.0000708153	0.0002344776	-0.0009159127	-0.0000834532	-0.0002694761	0.0055541037	0.0006033423	-0.0005720405	-0.0007197942	-0.0002910040	-0.0004812865	-0.0002694761	0.0008475822	0.0022279557	-0.0005033071	-0.0023361113	0.0003016075	0.0004030725	-0.0007197942	-0.0004627621	-0.0022084074	-0.0005033071	-0.0003577086	-0.0006320954	0.0024228643	-0.0007549861	-0.0007911960	-0.0006858139	-0.0010515443	0.0013038475	0.0093903816	-0.0001548639	-0.0003939608	0.0019603924	-0.0006630864	0.0003175396	-0.0008143594	-0.0006141357
metab_102	0.0030374880	0.0003016075	0.0022553211	-0.0003939608	0.0007329128	0.0007548207	-0.0004812865	0.0014936021	0.0028880645	0.0006033423	-0.0005504090	-0.0003728746	-0.0003939608	0.0001406277	-0.0002316850	0.0008475822	-0.0005900894	-0.0005900894	-0.0004627621	0.0015491883	-0.0006630864	-0.0006630864	-0.0006630864	-0.0006320954	-0.0006320954	0.0008475822	0.0010587157	0.0171681775	0.0005832563	-0.0007197942	0.0008214726	-0.0005720405	0.0012371492	0.0001569481	-0.0002520762	0.0006656326	-0.0003274309	0.0004208731	0.0001748689	-0.0005720405	-0.0006320954	-0.0005282431	-0.0000317875	-0.0000317875	-0.0003577086	-0.0006630864	-0.0008737839	-0.0005504090	0.0003562580	-0.0002316850	0.0003348619	0.0010853399	0.0015204879	-0.0001693525	-0.0000003544	-0.0005900894	0.0004208731	-0.0005282431	-0.0005900894	-0.0009611175	-0.0002694761	-0.0005282431	-0.0000317875	-0.0002910040	0.0001944137	0.0013600196	-0.0006141357	0.0005832563	0.0017693315	0.0008702644	-0.0006858139	0.0003562580	0.0000536778	0.0020328376	0.0013902500	-0.0003577086	0.0000360575	0.0010587157	-0.0004454378	-0.0003274309	0.0000360575	0.0014936021	-0.0000642333	-0.0003728746	0.0007024560	0.0006224086	-0.0006320954	0.0000202724	-0.0000834532	-0.0004812865	0.0002854014	-0.0002910040	0.0019256270	-0.0005900894	-0.0006320954	0.0001748689	-0.0010150392	0.0006656326	0.0054326465	-0.0002067674	-0.0004627621	0.0015731572	-0.0005504090	-0.0002910040	-0.0004627621	-0.0004454378
metab_103	0.0014660107	0.0011095438	0.0011726724	0.0016306895	0.0023164453	0.0013038475	0.0003175396	0.0004030725	0.0021112981	-0.0001300002	0.0001233734	0.0005627961	0.0002659693	0.0004208731	0.0009007080	0.0003793105	-0.0001548639	-0.0003728746	-0.0001548639	0.0003016075	-0.0005033071	-0.0004454378	-0.0000317875	0.0013038475	-0.0004812865	0.0017693315	-0.0000317875	0.0180673828	0.0002659693	0.0001233734	0.0016306895	0.0006033423	0.0019603924	0.0013902500	-0.0001548639	0.0006033423	-0.0002520762	0.0007024560	0.0016306895	0.0010587157	-0.0006630864	0.0006033423	-0.0000642333	0.0008026510	0.0002344776	0.0002854014	-0.0006630864	0.0001748689	0.0003175396	0.0003793105	0.0001406277	0.0001748689	0.0012371492	0.0002854014	0.0002115275	0.0005415473	0.0005627961	-0.0002067674	-0.0003274309	-0.0003939608	-0.0000003544	-0.0004138545	0.0033025825	0.0002115275	0.0003562580	0.0009708650	0.0003562580	0.0024866917	0.0021112981	0.0017983495	-0.0005033071	0.0006656326	0.0009247019	0.0023164453	0.0015204879	0.0011413299	0.0003793105	0.0014257160	0.0006656326	0.0003348619	0.0008214726	0.0031453363	0.0014660107	-0.0000642333	0.0017983495	0.0019256270	-0.0002067674	0.0006422254	0.0000885986	0.0006224086	0.0015731572	0.0013038475	0.0013902500	-0.0003577086	-0.0003728746	0.0009708650	0.0004208731	0.0018897720	0.0078616319	0.0004030725	0.0005415473	0.0022279557	-0.0002910040	0.0009477595	0.0004781526	0.0009007080
metab_104	0.0039393338	0.0035471973	0.0024228643	0.0059970735	0.0029442107	0.0012020357	0.0009708650	0.0004208731	0.0005832563	0.0034222604	-0.0000317875	0.0005832563	0.0072694309	0.0082908074	0.0011413299	0.0002854014	0.0014660107	0.0052456342	0.0015204879	0.0009477595	0.0018897720	0.0012637444	0.0005832563	0.0020328376	0.0004030725	0.0005627961	0.0007024560	0.0187810604	0.0019256270	0.0003562580	0.0007329128	0.0004208731	0.0016045657	0.0015204879	0.0015491883	-0.0003939608	-0.0000317875	0.0021679375	0.0033025825	0.0023164453	0.0006033423	0.0007024560	-0.0001857774	0.0013902500	0.0009708650	0.0012371492	0.0045245952	0.0008214726	0.0030374880	0.0037425477	0.0005415473	0.0001406277	0.0013902500	0.0010005894	-0.0000512019	0.0007329128	0.0014257160	0.0018310367	-0.0001857774	0.0014936021	0.0012371492	0.0038732465	0.0028496027	0.0008026510	0.0000536778	0.0029936083	0.0057614846	0.0040929577	0.0019256270	0.0017293232	0.0010279675	0.0040929577	0.0040929577	0.0010587157	0.0022553211	0.0009708650	0.0011413299	0.0013317376	0.0020328376	0.0009477595	0.0007764444	0.0038045707	0.0016045657	0.0011413299	0.0018310367	0.0007764444	0.0014660107	0.0002344776	0.0007024560	0.0011413299	0.0038045707	0.0021983873	0.0010279675	0.0009247019	0.0010587157	0.0022860550	0.0011413299	0.0016976826	0.0052456342	0.0008214726	0.0010587157	0.0035471973	0.0009477595	0.0006656326	0.0014257160	0.0026928889
metab_105	-0.0000317875	0.0017693315	0.0014660107	0.0009708650	0.0045245952	0.0013317376	0.0046832488	0.0009007080	0.0011095438	0.0050433406	0.0016677997	0.0002659693	0.0004208731	-0.0000317875	0.0030374880	0.0016677997	0.0014257160	0.0046832488	0.0012020357	0.0059970735	0.0014257160	0.0072694309	0.0013038475	-0.0004812865	0.0007764444	0.0023164453	0.0005415473	0.0184699191	0.0005627961	0.0007024560	0.0012020357	-0.0004627621	0.0011413299	0.0005627961	0.0022860550	0.0001406277	0.0037425477	-0.0000512019	0.0008702644	0.0038045707	0.0015731572	0.0010279675	0.0016677997	0.0015491883	0.0014936021	0.0008214726	0.0024553264	0.0000536778	0.0037425477	0.0008702644	0.0011413299	0.0002115275	0.0017983495	0.0006656326	0.0004030725	0.0013317376	0.0000536778	0.0010853399	0.0001233734	0.0071082318	0.0010853399	0.0010587157	0.0009247019	0.0008475822	0.0011413299	0.0003175396	0.0027309718	-0.0000642333	0.0004208731	0.0007548207	0.0055541037	0.0012371492	0.0009007080	0.0014257160	0.0017293232	0.0006224086	0.0024866917	0.0017293232	0.0019603924	0.0003562580	0.0011413299	0.0013600196	0.0010005894	0.0060995675	0.0005415473	-0.0001005544	0.0076950019	0.0004030725	0.0034952926	0.0015491883	0.0003016075	0.0016976826	0.0006033423	0.0006422254	0.0019256270	0.0013902500	0.0008026510	0.0007024560	0.0038045707	0.0009247019	0.0007764444	0.0034952926	0.0019603924	0.0007764444	0.0006656326	0.0028496027
metab_106	-0.0000152003	0.0009477595	0.0017983495	0.0010587157	-0.0003939608	-0.0000642333	-0.0006630864	0.0004580453	0.0003175396	-0.0002067674	-0.0009376947	-0.0002067674	-0.0004138545	-0.0003577086	-0.0005033071	0.0003175396	-0.0000834532	-0.0003274309	-0.0005504090	-0.0004627621	-0.0006141357	-0.0006141357	-0.0006320954	-0.0005900894	-0.0007197942	0.0017293232	0.0000708153	0.0166421177	0.0015731572	-0.0006858139	0.0001569481	-0.0004812865	0.0007329128	-0.0002067674	0.0004208731	-0.0002694761	-0.0005720405	0.0003793105	-0.0001300002	-0.0006141357	-0.0006141357	-0.0004138545	0.0005251104	-0.0007197942	-0.0001300002	-0.0003577086	-0.0005504090	-0.0004812865	0.0000708153	0.0006224086	0.0001233734	0.0001569481	0.0003793105	0.0000708153	-0.0001005544	-0.0001548639	-0.0002520762	-0.0004812865	-0.0006630864	-0.0005504090	0.0007548207	-0.0004627621	-0.0004454378	-0.0000512019	0.0016677997	0.0003016075	-0.0003939608	-0.0004627621	0.0002344776	0.0001944137	-0.0004454378	0.0024553264	-0.0002910040	0.0019603924	0.0000202724	-0.0000152003	-0.0005900894	-0.0000642333	-0.0001693525	-0.0000834532	0.0007329128	-0.0000003544	-0.0004138545	-0.0005282431	-0.0006858139	0.0001748689	-0.0006630864	0.0000536778	-0.0039890442	0.0018310367	-0.0003728746	0.0000202724	0.0009247019	-0.0003939608	-0.0008143594	-0.0003939608	-0.0006630864	0.0001406277	0.0025825668	-0.0006858139	-0.0001693525	0.0028131004	0.0021679375	-0.0000152003	-0.0005282431	-0.0008143594
metab_107	0.0003016075	0.0000202724	-0.0000642333	0.0007024560	-0.0006320954	-0.0002910040	-0.0008425529	0.0003348619	0.0004399628	-0.0004454378	-0.0011214436	-0.0004627621	-0.0004454378	0.0000536778	-0.0006320954	-0.0004138545	-0.0007549861	-0.0006141357	-0.0006141357	-0.0004812865	-0.0007911960	-0.0007911960	-0.0008143594	-0.0007197942	-0.0007911960	0.0006422254	0.0002854014	0.0165537193	-0.0003577086	-0.0005720405	0.0000202724	-0.0005033071	0.0002854014	-0.0003274309	-0.0002316850	-0.0000317875	-0.0006141357	-0.0001693525	-0.0002694761	-0.0008425529	-0.0004454378	-0.0002067674	-0.0004812865	-0.0006630864	0.0008475822	-0.0006320954	-0.0005900894	-0.0001693525	-0.0002520762	0.0010005894	-0.0003577086	-0.0000642333	-0.0000642333	-0.0000152003	-0.0007197942	-0.0004812865	-0.0005900894	-0.0005720405	-0.0006858139	-0.0008143594	0.0001748689	-0.0004812865	-0.0005504090	-0.0003577086	-0.0000512019	0.0001233734	-0.0005504090	-0.0003728746	-0.0001300002	0.0014257160	-0.0009611175	0.0009247019	-0.0004627621	0.0014936021	-0.0003274309	-0.0001300002	-0.0006141357	-0.0003274309	0.0003348619	-0.0001548639	0.0007548207	-0.0001857774	-0.0006141357	-0.0006320954	-0.0007197942	-0.0003577086	-0.0011037445	0.0013038475	-0.0004812865	0.0008214726	-0.0005504090	-0.0003728746	-0.0000642333	-0.0005504090	-0.0005900894	-0.0007549861	-0.0009159127	0.0012020357	0.0021112981	-0.0008143594	-0.0002520762	0.0007329128	0.0008026510	-0.0003577086	-0.0008425529	-0.0009611175
metab_108	-0.0001300002	0.0011413299	0.0004030725	0.0000536778	-0.0005720405	-0.0004454378	-0.0008143594	-0.0000152003	-0.0000003544	-0.0004138545	-0.0009159127	-0.0004812865	-0.0002520762	0.0011413299	-0.0005900894	-0.0003577086	-0.0008143594	-0.0004812865	0.0008475822	-0.0000834532	-0.0006320954	-0.0007197942	-0.0009376947	-0.0005720405	-0.0006141357	0.0000885986	-0.0000512019	0.0178759195	-0.0000512019	-0.0006630864	0.0000885986	-0.0001857774	0.0003793105	-0.0003577086	-0.0002694761	0.0009007080	-0.0008894464	-0.0000317875	0.0001233734	-0.0010613955	-0.0005282431	0.0022279557	-0.0005282431	-0.0005720405	-0.0006320954	-0.0005282431	-0.0004812865	0.0011726724	-0.0002067674	0.0003175396	-0.0002067674	-0.0001693525	0.0000708153	-0.0002694761	-0.0008737839	-0.0002694761	-0.0005720405	-0.0005900894	-0.0012292258	-0.0006630864	0.0000360575	-0.0003728746	0.0001569481	-0.0003728746	-0.0001300002	0.0002344776	-0.0005720405	0.0000885986	0.0052456342	0.0001748689	-0.0006141357	-0.0001300002	-0.0003939608	0.0008026510	-0.0000834532	-0.0003728746	-0.0006630864	-0.0000152003	0.0005415473	-0.0002067674	-0.0003577086	-0.0002067674	-0.0003728746	-0.0006858139	-0.0005900894	-0.0005033071	-0.0006858139	0.0003562580	-0.0006630864	-0.0003939608	-0.0002316850	-0.0004138545	-0.0001857774	-0.0005033071	-0.0007549861	-0.0005504090	-0.0005720405	0.0000202724	0.0013038475	-0.0006630864	0.0001233734	-0.0000317875	0.0025517521	-0.0003728746	-0.0005504090	-0.0005282431
metab_109	-0.0001005544	0.0001748689	-0.0000317875	-0.0005033071	-0.0006858139	-0.0006320954	-0.0006858139	-0.0000512019	-0.0000317875	-0.0000003544	-0.0006858139	-0.0005504090	-0.0002316850	0.0004030725	-0.0005504090	-0.0005033071	0.0012020357	-0.0005720405	-0.0003939608	-0.0004138545	-0.0004812865	-0.0008143594	-0.0007911960	-0.0004454378	-0.0008894464	-0.0002520762	-0.0003274309	0.0169875591	-0.0004454378	-0.0005282431	-0.0001548639	-0.0003728746	0.0009247019	0.0001233734	0.0003175396	-0.0004812865	-0.0011701347	0.0043440642	0.0001406277	-0.0007197942	-0.0005504090	-0.0007911960	-0.0006141357	-0.0009749736	-0.0005504090	-0.0004454378	-0.0006141357	-0.0005033071	-0.0000003544	-0.0001693525	-0.0001857774	0.0001233734	-0.0003577086	-0.0002910040	-0.0009376947	-0.0001857774	0.0003175396	-0.0001300002	-0.0011988319	-0.0006320954	0.0001944137	-0.0005033071	-0.0001857774	-0.0003274309	-0.0005282431	-0.0000152003	-0.0006858139	-0.0002694761	0.0008026510	0.0000360575	-0.0008894464	-0.0004138545	0.0003562580	0.0003016075	0.0005000803	-0.0007197942	-0.0006320954	-0.0001693525	-0.0003274309	0.0001406277	-0.0002910040	-0.0003274309	-0.0005504090	-0.0011497981	-0.0007911960	0.0000708153	-0.0009909403	-0.0004454378	-0.0005720405	-0.0004627621	0.0001944137	-0.0006141357	-0.0001693525	-0.0004627621	-0.0008425529	-0.0007197942	-0.0008143594	-0.0001548639	0.0009007080	-0.0007197942	0.0003016075	-0.0001005544	0.0010587157	-0.0004138545	-0.0006141357	-0.0006630864
metab_110	-0.0001693525	-0.0000317875	-0.0002694761	-0.0005282431	-0.0005900894	-0.0006858139	0.0007764444	-0.0001300002	-0.0002910040	-0.0001548639	-0.0010150392	-0.0004138545	0.0000885986	-0.0005033071	-0.0007197942	-0.0003274309	-0.0000152003	-0.0006320954	-0.0003577086	0.0008475822	0.0003793105	-0.0006858139	-0.0009611175	-0.0004627621	-0.0008425529	-0.0006320954	-0.0001300002	0.0186887648	-0.0003274309	-0.0002067674	-0.0001300002	-0.0003577086	-0.0001300002	-0.0002316850	-0.0006141357	-0.0005900894	-0.0009159127	0.0000360575	-0.0002067674	-0.0008143594	-0.0004812865	-0.0006141357	-0.0002316850	-0.0005900894	-0.0007911960	0.0006656326	-0.0007197942	-0.0006141357	0.0002659693	-0.0004138545	-0.0001300002	-0.0001300002	-0.0005504090	-0.0001857774	-0.0009909403	-0.0000642333	-0.0001857774	-0.0003577086	-0.0008894464	-0.0006141357	-0.0004627621	-0.0008143594	-0.0002520762	-0.0000834532	-0.0005504090	-0.0001693525	-0.0002694761	-0.0002316850	0.0000202724	-0.0002067674	-0.0010150392	-0.0005033071	-0.0002316850	-0.0001693525	-0.0001548639	-0.0006141357	-0.0006858139	-0.0003939608	-0.0007197942	-0.0001005544	-0.0000152003	0.0002344776	-0.0003939608	-0.0011313278	-0.0008143594	-0.0005720405	-0.0008425529	-0.0005900894	-0.0010613955	-0.0005282431	-0.0005282431	-0.0005033071	-0.0003939608	-0.0004812865	-0.0007197942	0.0003016075	-0.0003728746	-0.0002067674	0.0007548207	-0.0006141357	0.0000536778	-0.0000834532	0.0010853399	-0.0002694761	-0.0005033071	-0.0006858139
metab_111	0.0008475822	0.0022553211	-0.0003577086	-0.0004138545	-0.0000152003	-0.0001693525	0.0008214726	-0.0001857774	-0.0002520762	0.0000360575	0.0004781526	0.0008214726	-0.0001005544	-0.0003274309	0.0004781526	0.0001748689	0.0004208731	-0.0004138545	-0.0001005544	0.0002659693	-0.0000642333	-0.0003577086	0.0000708153	-0.0003939608	-0.0002694761	-0.0008143594	-0.0002067674	0.0160749424	0.0000202724	0.0008214726	0.0034952926	-0.0002520762	0.0008214726	0.0000885986	-0.0001857774	0.0005832563	-0.0001300002	-0.0005033071	0.0002344776	-0.0003577086	0.0004399628	0.0002115275	0.0009007080	-0.0001857774	0.0001406277	-0.0004138545	-0.0004627621	-0.0001857774	0.0003016075	-0.0001300002	0.0000885986	-0.0000512019	-0.0005282431	-0.0000003544	-0.0007911960	-0.0000317875	0.0002854014	0.0003175396	-0.0002067674	0.0002854014	-0.0006141357	-0.0007549861	0.0005251104	0.0004580453	0.0009007080	-0.0004138545	0.0001944137	-0.0002520762	-0.0003274309	-0.0002694761	-0.0001548639	-0.0002067674	-0.0001693525	-0.0001548639	0.0016976826	-0.0002694761	0.0000885986	-0.0002520762	0.0003793105	-0.0000003544	-0.0002316850	0.0001406277	0.0005627961	0.0000360575	0.0002115275	-0.0001300002	0.0001406277	-0.0000642333	0.0003016075	-0.0002694761	0.0007764444	0.0000708153	-0.0003728746	-0.0001857774	0.0000202724	0.0003175396	0.0000360575	-0.0001857774	0.0007329128	0.0002115275	0.0001406277	0.0003175396	0.0015204879	0.0005251104	0.0007548207	0.0002344776
metab_112	0.0006033423	0.0116021383	0.0002854014	0.0009247019	-0.0001548639	-0.0000003544	0.0002659693	0.0005000803	0.0005415473	0.0005832563	-0.0005282431	-0.0005720405	0.0022860550	0.0000202724	0.0002115275	0.0003348619	-0.0001693525	0.0001406277	0.0020653697	-0.0003274309	0.0005000803	-0.0004627621	0.0000536778	0.0002659693	0.0016045657	0.0004030725	0.0001406277	0.0182684706	0.0008214726	-0.0001548639	0.0023164453	-0.0000152003	0.0011095438	0.0006033423	-0.0001693525	-0.0003728746	-0.0003728746	0.0001569481	0.0003016075	0.0003016075	-0.0002694761	-0.0003274309	-0.0000834532	0.0002115275	-0.0001005544	0.0001233734	0.0002659693	-0.0002520762	0.0001406277	0.0005000803	0.0020874050	0.0005415473	0.0001569481	0.0000202724	0.0003793105	-0.0000003544	-0.0000642333	-0.0001693525	-0.0005504090	-0.0003274309	-0.0003728746	0.0003348619	-0.0000834532	-0.0002316850	0.0003175396	-0.0002694761	-0.0002316850	-0.0000834532	0.0004580453	0.0000536778	-0.0004812865	0.0004208731	0.0010005894	0.0009477595	0.0053353272	0.0007024560	-0.0003274309	0.0005832563	0.0016976826	0.0008026510	0.0010279675	0.0010587157	0.0006033423	-0.0001005544	0.0017693315	0.0003793105	-0.0001693525	0.0008702644	-0.0000317875	0.0008475822	0.0000360575	-0.0001857774	-0.0001548639	0.0002659693	0.0006656326	0.0007548207	0.0006422254	0.0003175396	0.0008214726	-0.0002694761	0.0009007080	0.0008702644	-0.0003274309	0.0001944137	0.0002854014	-0.0001693525
metab_113	0.0012637444	0.0005415473	0.0001569481	0.0001748689	0.0189078868	0.0036915972	0.0016306895	0.0002659693	0.0002344776	0.0000885986	0.0009007080	0.0057614846	0.0008214726	0.0002854014	0.0050433406	0.0001944137	0.0010279675	0.0013038475	0.0001233734	-0.0002067674	0.0009007080	0.0059970735	0.0019603924	-0.0000317875	0.0025825668	0.0003348619	0.0000202724	0.0151781328	-0.0000003544	0.0003016075	0.0004580453	0.0002854014	-0.0000642333	0.0020328376	-0.0004138545	0.0001569481	0.0040158402	-0.0000003544	0.0014257160	0.0096888852	-0.0001693525	0.0032444075	0.0001944137	0.0049532363	0.0010005894	0.0036915972	0.0003016075	0.0019889504	-0.0000152003	0.0001233734	0.0002854014	0.0000885986	0.0005415473	0.0008214726	0.0011095438	0.0007548207	-0.0000512019	0.0009247019	-0.0003939608	-0.0005282431	0.0002659693	-0.0003274309	0.0011095438	0.0000885986	0.0000885986	0.0007329128	-0.0001300002	0.0002854014	0.0003793105	0.0009247019	0.0025226443	0.0015204879	0.0005627961	0.0006033423	0.0001233734	0.0010005894	0.0086156433	0.0021112981	0.0048539338	0.0015491883	0.0001748689	0.0006224086	0.0060995675	0.0054326465	0.0004580453	0.0001233734	0.0071923365	0.0002659693	0.0059970735	0.0011095438	0.0010005894	0.0046033434	0.0013600196	0.0008026510	0.0004030725	0.0026172526	0.0018597495	0.0007548207	0.0016045657	0.0026928889	0.0020874050	0.0017693315	-0.0001300002	0.0011726724	0.0040158402	0.0013317376
metab_114	0.0001406277	0.0001944137	0.0001233734	-0.0001693525	-0.0001300002	0.0006656326	0.0020328376	0.0001233734	0.0000885986	0.0007764444	-0.0004627621	-0.0000642333	0.0011726724	-0.0000642333	-0.0000003544	0.0002659693	-0.0005033071	-0.0002910040	-0.0003274309	-0.0001857774	0.0009247019	-0.0005033071	-0.0002067674	-0.0003728746	0.0011095438	-0.0003274309	0.0003348619	0.0140804469	0.0001748689	0.0012371492	0.0000360575	-0.0003274309	-0.0001857774	0.0004580453	0.0001406277	0.0004399628	-0.0005504090	-0.0002910040	-0.0000152003	0.0002659693	0.0001233734	-0.0000003544	0.0000885986	-0.0002694761	-0.0002316850	-0.0003728746	-0.0002910040	0.0004580453	-0.0003274309	-0.0000512019	0.0002115275	-0.0002316850	-0.0000834532	0.0017983495	-0.0001857774	-0.0003577086	0.0010005894	0.0001233734	-0.0001693525	-0.0002520762	0.0000708153	-0.0005720405	-0.0000152003	0.0001748689	0.0001233734	-0.0000317875	-0.0002067674	-0.0001693525	-0.0000834532	0.0000885986	-0.0007197942	0.0000885986	0.0003016075	-0.0001300002	0.0003562580	-0.0000512019	0.0002659693	0.0000360575	-0.0006320954	-0.0001300002	0.0001233734	-0.0001693525	0.0001406277	-0.0002520762	-0.0004454378	-0.0004454378	-0.0005504090	-0.0002067674	-0.0002694761	-0.0000003544	0.0009247019	0.0008214726	-0.0000834532	-0.0001693525	-0.0005504090	-0.0002520762	-0.0002316850	0.0004030725	0.0007764444	-0.0004138545	-0.0002694761	0.0005251104	-0.0002316850	-0.0000003544	0.0000202724	-0.0004138545
metab_115	0.0001944137	0.0003348619	0.0005627961	-0.0003577086	-0.0006630864	0.0001748689	-0.0004138545	0.0003016075	0.0001944137	0.0003793105	0.0000202724	-0.0000512019	0.0030374880	0.0008214726	0.0012637444	0.0004208731	-0.0004627621	-0.0003577086	0.0000536778	-0.0000003544	0.0003562580	-0.0003274309	-0.0001300002	-0.0001693525	0.0005415473	0.0000360575	0.0009007080	0.0128129204	0.0008026510	0.0002115275	0.0001748689	-0.0004454378	0.0001406277	0.0008702644	0.0012020357	-0.0001548639	-0.0007911960	-0.0001300002	0.0000536778	0.0005627961	-0.0000152003	-0.0003577086	0.0003016075	0.0000708153	0.0000202724	-0.0005033071	-0.0003274309	-0.0000152003	0.0000536778	0.0000202724	0.0004781526	0.0000536778	0.0004399628	0.0013902500	0.0000536778	-0.0000834532	-0.0001300002	0.0005251104	0.0000360575	0.0004030725	0.0002854014	-0.0003939608	0.0000708153	0.0003562580	0.0002854014	0.0001569481	0.0000360575	-0.0000152003	0.0000885986	0.0002115275	-0.0001300002	0.0002659693	0.0000708153	-0.0000512019	0.0010279675	-0.0002067674	-0.0003577086	0.0003793105	-0.0004138545	0.0000536778	0.0000708153	0.0003016075	0.0003348619	-0.0004812865	-0.0001548639	-0.0001548639	-0.0003939608	-0.0002694761	-0.0004627621	0.0003562580	0.0003562580	0.0001944137	0.0003175396	-0.0001005544	-0.0004138545	-0.0000512019	-0.0001693525	0.0003793105	0.0008475822	-0.0005282431	-0.0000003544	0.0006422254	0.0003793105	0.0000360575	0.0001233734	-0.0000834532
metab_116	0.0002344776	0.0008026510	0.0005415473	0.0008214726	0.0007024560	0.0004208731	-0.0001005544	0.0011413299	0.0003562580	0.0013902500	0.0025226443	0.0009007080	0.0032444075	0.0005832563	0.0027309718	0.0015731572	0.0020653697	0.0002344776	0.0005000803	0.0019889504	0.0004580453	0.0019256270	0.0025517521	0.0001944137	0.0024228643	0.0006656326	0.0013600196	0.0129902687	0.0013317376	0.0021679375	0.0002115275	-0.0000834532	-0.0000512019	0.0008026510	0.0016677997	0.0008702644	0.0001233734	0.0000885986	0.0009477595	0.0028131004	0.0018897720	0.0009708650	0.0019603924	0.0029442107	0.0009477595	0.0011413299	0.0003348619	0.0012020357	0.0006656326	0.0004781526	0.0019603924	0.0003793105	0.0004580453	0.0005251104	0.0001569481	0.0011413299	0.0008026510	0.0006033423	0.0003348619	0.0026928889	0.0003016075	-0.0000642333	0.0008214726	0.0010587157	0.0009247019	0.0000885986	0.0010279675	0.0002659693	0.0001748689	0.0005251104	0.0002854014	0.0004030725	0.0003793105	0.0003175396	0.0024553264	-0.0000317875	0.0021983873	0.0004781526	0.0004208731	0.0003175396	0.0004208731	0.0001233734	0.0018897720	0.0010853399	0.0007764444	0.0020874050	0.0009708650	0.0015204879	0.0014660107	0.0008702644	0.0014936021	0.0014257160	0.0005627961	0.0004399628	0.0008702644	0.0006656326	0.0012637444	0.0003348619	0.0016306895	0.0002344776	0.0003175396	0.0009708650	0.0018897720	0.0006224086	0.0016045657	0.0015491883
